time,server,player,channel,message
"2012-12-22 23:45:15","default","Pyrotek","g","SO VERY TERRIBLE YOU ARE"
"2012-12-22 23:45:16","default","PickleMan","g",";D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :"
"2012-12-22 23:45:17","default","PickleMan","g",";D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :"
"2012-12-22 23:45:18","default","PickleMan","g",";D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :"
"2012-12-22 23:46:04","default","Pyrotek","g","oH NO."
"2012-12-22 23:46:07","default","Pyrotek","g","I'M GOING TO DIE"
"2012-12-22 23:47:23","default","PickleMan","g","hmmm"
"2012-12-22 23:47:35","default","PickleMan","admin",":o"
"2012-12-22 23:47:38","default","Pyrotek","admin","oh my."
"2012-12-22 23:47:40","default","PickleMan","admin",":O"
"2012-12-22 23:47:46","default","PickleMan","admin","heh"
"2012-12-22 23:47:50","default","Pyrotek","admin","NO"
"2012-12-22 23:47:52","default","PickleMan","admin","heh /clock is like clock"
"2012-12-22 23:48:18","default","Pyrotek","admin","i wonder if essentials has /clock as alias to /time"
"2012-12-22 23:48:34","default","PickleMan","admin","too bad, it's overwritten by mcnsachat3"
"2012-12-22 23:48:42","default","Pyrotek","admin","i see"
"2012-12-22 23:48:51","default","PickleMan","admin","hm"
"2012-12-22 23:48:54","default","PickleMan","admin","15 seconds..."
"2012-12-22 23:49:02","default","PickleMan","admin","{"default": ["&2PickleMan","&aPyrotek"]}"
"2012-12-22 23:49:03","default","PickleMan","admin","there"
"2012-12-22 23:49:05","default","PickleMan","admin","site can work"
"2012-12-22 23:49:05","default","PickleMan","admin","now"
"2012-12-23 14:07:52","default","PickleMan","g","hi"
"2012-12-23 14:07:55","default","PickleMan","ADMIN","hm"
"2012-12-23 14:11:38","default","PickleMan","g","hey"
"2012-12-23 14:11:42","default","PickleMan","PM to PickleMan","hey "
"2012-12-23 14:12:12","default","PickleMan","PM to PickleMan","hiya "
"2012-12-23 14:12:32","default","PickleMan","PM to PickleMan","hiya "
"2012-12-23 14:12:34","default","PickleMan","PM to PickleMan","hi "
"2012-12-23 14:32:54","default","PickleMan","g","hey"
"2012-12-23 14:32:59","default","PickleMan","PM to PickleMan","hey "
"2012-12-23 14:33:01","default","PickleMan","PM to PickleMan","hey"
"2012-12-23 14:33:04","default","PickleMan","PM to PickleMan","hiya"
"2012-12-23 14:33:06","default","PickleMan","PM to PickleMan","&asup"
"2012-12-23 14:34:48","default","Pyrotek","admin","Sir."
"2012-12-23 14:34:51","default","Pyrotek","g","Sir"
"2012-12-23 14:34:55","default","Pyrotek","g","sir."
"2012-12-23 14:35:03","default","Pyrotek","g","Fuck, how do I turn off /crave?"
"2012-12-23 14:35:08","default","Pyrotek","g","No perm"
"2012-12-23 14:35:11","t","PickleMan","u","hi?"
"2012-12-23 14:35:35","t","PickleMan","u","hiii"
"2012-12-23 14:35:38","default","Pyrotek","g","Still no perm"
"2012-12-23 14:36:08","default","Pyrotek","u","Whoo"
"2012-12-23 14:36:09","default","Pyrotek","u","Worked."
"2012-12-23 14:36:10","t","PickleMan","u","hey"
"2012-12-23 14:36:14","t","PickleMan","u","is bawkeughh"
"2012-12-23 14:36:17","t","PickleMan","u","okay so"
"2012-12-23 14:36:27","t","PickleMan","u","to turn on rave mode type /cmode u +RAVE"
"2012-12-23 14:36:31","default","Pyrotek","u","What's the {t} and {default}"
"2012-12-23 14:36:35","t","PickleMan","u","the servers we're on"
"2012-12-23 14:36:36","default","Pyrotek","u","i SEE."
"2012-12-23 14:36:43","default","Pyrotek","u","And better"
"2012-12-23 14:36:52","t","PickleMan","u",":D"
"2012-12-23 14:36:57","default","Pyrotek","u","Does it broadaast Modes changed to everyone?"
"2012-12-23 14:36:59","t","PickleMan","u","yeah"
"2012-12-23 14:37:01","default","Pyrotek","u","aw"
"2012-12-23 14:37:12","t","PickleMan","u","I mean, unless you're on a local channell"
"2012-12-23 14:37:21","t","PickleMan","u","anyway"
"2012-12-23 14:37:31","t","PickleMan","u","hm"
"2012-12-23 14:37:35","t","PickleMan","u","sec"
"2012-12-23 14:37:36","default","Pyrotek","u","What else to test?"
"2012-12-23 14:37:39","t","PickleMan","u","well"
"2012-12-23 14:37:43","t","PickleMan","u","everything, really"
"2012-12-23 14:37:46","t","PickleMan","ADMIN","do you see this"
"2012-12-23 14:37:48","t","PickleMan","u","uhm"
"2012-12-23 14:37:50","t","PickleMan","NET_ANNOUNCE","hey"
"2012-12-23 14:37:54","t","PickleMan","NET_ANNOUNCE","do you see this"
"2012-12-23 14:37:55","default","Pyrotek","u","yes"
"2012-12-23 14:38:00","t","PickleMan","LOCAL_ANNOUNCE","do you see this?"
"2012-12-23 14:38:06","t","PickleMan","u","good"
"2012-12-23 14:38:11","t","PickleMan","u","(/nbc and /lbc)"
"2012-12-23 14:38:16","t","PickleMan","u","uhhh"
"2012-12-23 14:38:18","default","Pyrotek","local_announce","Oh my."
"2012-12-23 14:38:18","t","PickleMan","u","hm"
"2012-12-23 14:38:22","t","PickleMan","u","do /clisten a"
"2012-12-23 14:38:24","default","Pyrotek","u","So"
"2012-12-23 14:38:25","t","PickleMan","u","erm /clisten admin"
"2012-12-23 14:38:37","default","Pyrotek","u","Cool."
"2012-12-23 14:38:39","t","PickleMan","ADMIN","uh"
"2012-12-23 14:38:41","t","PickleMan","ADMIN","do you see this"
"2012-12-23 14:38:43","default","Pyrotek","u","yes"
"2012-12-23 14:38:51","t","PickleMan","G","hm"
"2012-12-23 14:38:53","t","PickleMan","g","hm"
"2012-12-23 14:39:01","t","PickleMan","U","so"
"2012-12-23 14:39:02","t","PickleMan","u","hm"
"2012-12-23 14:39:19","t","PickleMan","u","uhhh"
"2012-12-23 14:39:21","default","Pyrotek","u","So lbc is for only your server?"
"2012-12-23 14:39:23","t","PickleMan","u","yeah"
"2012-12-23 14:39:27","default","Pyrotek","u","and nbc is network wide?"
"2012-12-23 14:39:30","t","PickleMan","u","yup"
"2012-12-23 14:39:33","default","Pyrotek","u","Alti's on his way"
"2012-12-23 14:39:39","t","PickleMan","u","alright, good"
"2012-12-23 14:39:43","default","Altimeter","g","How is it?"
"2012-12-23 14:40:09","default","Altimeter","g","NO PERMS BRO"
"2012-12-23 14:40:36","default","Altimeter","u","Aha!"
"2012-12-23 14:40:39","t","PickleMan","u","hi"
"2012-12-23 14:40:40","default","Pyrotek","u","Hey there, Alti :)"
"2012-12-23 14:40:42","default","Altimeter","u","Where you chatting from?"
"2012-12-23 14:40:45","t","PickleMan","u","wait what"
"2012-12-23 14:40:56","t","PickleMan","u","why is your stuff..."
"2012-12-23 14:40:59","t","PickleMan","u","rainbowy?"
"2012-12-23 14:41:01","t","PickleMan","u","hm"
"2012-12-23 14:41:04","default","Pyrotek","u","Not rainbowy on my end"
"2012-12-23 14:41:06","default","Altimeter","u","On G rainbow is set"
"2012-12-23 14:41:16","t","PickleMan","u","say oh. huh. are you on g?"
"2012-12-23 14:41:25","default","Altimeter","u","I don't think so"
"2012-12-23 14:41:28","default","Altimeter","G","Am I?"
"2012-12-23 14:41:28","t","PickleMan","u","say hmmm"
"2012-12-23 14:41:32","default","Altimeter","G","Guess not"
"2012-12-23 14:41:34","default","Altimeter","G","I can't see this."
"2012-12-23 14:41:35","default","Pyrotek","u","I'm /clisten'ing to G, not seeing anyone there"
"2012-12-23 14:41:40","t","PickleMan","u","hmm"
"2012-12-23 14:41:42","t","PickleMan","u","gotta fix that"
"2012-12-23 14:41:43","default","Altimeter","G","Now?"
"2012-12-23 14:41:45","default","Altimeter","G","Yes."
"2012-12-23 14:41:46","default","Pyrotek","u","Wait, now it says you're in G"
"2012-12-23 14:41:47","default","Altimeter","G","I see it now"
"2012-12-23 14:41:57","t","PickleMan","u","me?"
"2012-12-23 14:42:00","default","Pyrotek","u","No, Alti."
"2012-12-23 14:42:06","default","Altimeter","u","Hmm?"
"2012-12-23 14:42:11","default","Pyrotek","u","Not anymore. :P"
"2012-12-23 14:42:20","default","Altimeter","G","No, I meant I didn't see text sent to G before"
"2012-12-23 14:42:23","t","PickleMan","u","hmm"
"2012-12-23 14:42:28","t","PickleMan","u","so /msg should work"
"2012-12-23 14:42:29","default","Altimeter","G","I do now that I've /clistened to it"
"2012-12-23 14:42:31","t","PickleMan","u","try that between you to"
"2012-12-23 14:42:32","default","Pyrotek","u","mmk"
"2012-12-23 14:42:34","t","PickleMan","u","gotta fix cross server msg"
"2012-12-23 14:42:35","default","Pyrotek","PM to Altimeter","hi "
"2012-12-23 14:42:36","default","Altimeter","PM to Pyrotek","Test "
"2012-12-23 14:42:38","default","Pyrotek","PM to Altimeter","yep"
"2012-12-23 14:42:39","default","Pyrotek","u","Yep"
"2012-12-23 14:42:40","default","Altimeter","u","Sex"
"2012-12-23 14:42:45","t","PickleMan","u","yup"
"2012-12-23 14:42:47","t","PickleMan","u","#16[default] 2012-12-23 14:42:38 |[from Pyrotek to Altimeter]: yep"
"2012-12-23 14:42:59","t","PickleMan","u","uhh"
"2012-12-23 14:43:00","t","PickleMan","u","ooh"
"2012-12-23 14:43:30","t","PickleMan","u","online players should work"
"2012-12-23 14:43:31","t","PickleMan","u","hm"
"2012-12-23 14:43:37","t","PickleMan","u","does it show my channel as 'u' or 'U'"
"2012-12-23 14:43:39","default","Pyrotek","u","u"
"2012-12-23 14:43:41","default","Altimeter","u","u"
"2012-12-23 14:43:44","t","PickleMan","u","hm, gotta fix that too"
"2012-12-23 14:43:44","default","Altimeter","u","And I'm in U"
"2012-12-23 14:43:47","default","Pyrotek","u","and so am I"
"2012-12-23 14:43:56","t","PickleMan","u","in u?"
"2012-12-23 14:44:13","t","PickleMan","u","try using color codes and stuff while I take a look at that"
"2012-12-23 14:44:16","default","Pyrotek","u","No, me and Alti are in {default}<U>"
"2012-12-23 14:44:17","t","PickleMan","u","should work in /msg and /me too"
"2012-12-23 14:44:17","default","Altimeter","u","&kpants"
"2012-12-23 14:44:24","default","Altimeter","u","&cWoo"
"2012-12-23 14:44:30","default","Pyrotek","u","&9 oh my"
"2012-12-23 14:44:31","default","Altimeter","u","&nPants"
"2012-12-23 14:44:35","default","Altimeter","u","&mCoats"
"2012-12-23 14:44:38","t","PickleMan","u","hmmmm"
"2012-12-23 14:44:40","default","Altimeter","u","&bTaco!"
"2012-12-23 14:44:43","t","PickleMan","u","not showing up for me"
"2012-12-23 14:44:44","default","Pyrotek","u","&o Pants?!"
"2012-12-23 14:44:45","default","Altimeter","u","&hTaco"
"2012-12-23 14:44:46","t","PickleMan","u","is it showing up for you?"
"2012-12-23 14:44:49","default","Altimeter","u","&lTaco that's it"
"2012-12-23 14:44:52","default","Pyrotek","u","Showed up for me, yeah."
"2012-12-23 14:44:56","t","PickleMan","u","huh"
"2012-12-23 14:44:58","t","PickleMan","u","&c hm"
"2012-12-23 14:45:02","default","Pyrotek","u","And so did that."
"2012-12-23 14:45:02","t","PickleMan","u","see that in red?"
"2012-12-23 14:45:05","default","Pyrotek","u","yes"
"2012-12-23 14:45:06","default","Altimeter","u","Pinkred yes"
"2012-12-23 14:45:15","t","PickleMan","u","hm"
"2012-12-23 14:45:17","default","Altimeter","u","&4Woo!"
"2012-12-23 14:45:23","default","Altimeter","u","&4This is real red."
"2012-12-23 14:45:25","default","Pyrotek","u","Hot."
"2012-12-23 14:45:37","t","PickleMan","u","hmmm wondering why it's doing that"
"2012-12-23 14:45:45","t","PickleMan","u","OOH i know why"
"2012-12-23 14:45:48","default","Pyrotek","u","Not showing you the colors and such?"
"2012-12-23 14:45:55","t","PickleMan","u","it's because you don't have the permission to color text on here"
"2012-12-23 14:46:00","t","PickleMan","u","that's supposed to happen like that"
"2012-12-23 14:46:01","default","Pyrotek","u","Oh, interesting"
"2012-12-23 14:46:16","t","PickleMan","u","okay uh"
"2012-12-23 14:46:19","t","PickleMan","u","try using it now pyro"
"2012-12-23 14:46:21","default","Altimeter","u","So"
"2012-12-23 14:46:37","default","Pyrotek","u","&k Hm?"
"2012-12-23 14:46:41","default","Altimeter","u","I can do a &kSecret Message Only Servers I Don't Have Perms On&0 can see."
"2012-12-23 14:46:43","t","PickleMan","u","yup, I see that"
"2012-12-23 14:46:49","default","Pyrotek","u","&4 oh my."
"2012-12-23 14:46:53","t","PickleMan","u","Altimeter what"
"2012-12-23 14:47:01","t","PickleMan","u","oooh"
"2012-12-23 14:47:04","t","PickleMan","u","yeah"
"2012-12-23 14:47:06","t","PickleMan","u","nice :P"
"2012-12-23 14:47:11","t","PickleMan","u","&c:D"
"2012-12-23 14:47:16","t","PickleMan","u","&kssseeecret"
"2012-12-23 14:47:31","t","PickleMan","u","&ksecret&r"
"2012-12-23 14:47:35","t","PickleMan","u","interesting"
"2012-12-23 14:47:48","t","PickleMan","u","it doesn't &kblah&r the first letter if you do uh"
"2012-12-23 14:47:55","t","PickleMan","u","&k and then *r"
"2012-12-23 14:48:03","t","PickleMan","u","& k and then & r"
"2012-12-23 14:48:04","default","Pyrotek","u","Huh"
"2012-12-23 14:48:21","default","Altimeter","u","&kwiggle&r"
"2012-12-23 14:48:40","default","Pyrotek","u","I like this map."
"2012-12-23 14:49:10","t","PickleMan","u","hey uh"
"2012-12-23 14:49:12","default","Pyrotek","u","Has Hobbit-hole potential"
"2012-12-23 14:49:12","t","PickleMan","u","type /reload"
"2012-12-23 14:49:17","default","Pyrotek","u","NO perm."
"2012-12-23 14:49:22","t","PickleMan","u","meh"
"2012-12-23 14:49:47","t","PickleMan","u","uh"
"2012-12-23 14:49:52","t","PickleMan","u","am I in U now"
"2012-12-23 14:49:53","t","PickleMan","u","rather than u"
"2012-12-23 14:49:56","default","Altimeter","u","Nice"
"2012-12-23 14:49:58","default","Altimeter","u","You are"
"2012-12-23 14:50:01","t","PickleMan","u","okay good"
"2012-12-23 14:50:07","t","PickleMan","u","what was the other thing?"
"2012-12-23 14:50:10","t","PickleMan","u","cross server messaging?"
"2012-12-23 14:50:13","default","Altimeter","u","Yeah"
"2012-12-23 14:50:28","default","Altimeter","u","And making &kthis shit&r not make the first character go bonkers."
"2012-12-23 14:50:38","t","PickleMan","u","meh"
"2012-12-23 14:50:56","default","Pyrotek","u","&k that'sannoying."
"2012-12-23 14:51:08","default","Pyrotek","u","Yeah, that's slightly annoying, but not a big deal compared to messaging I guess :D"
"2012-12-23 14:51:08","t","PickleMan","u","okay uh"
"2012-12-23 14:51:10","t","PickleMan","u","try again"
"2012-12-23 14:51:14","t","PickleMan","u","without the & r at the end"
"2012-12-23 14:51:15","default","Altimeter","u","&k Test"
"2012-12-23 14:51:19","default","Altimeter","u","Success"
"2012-12-23 14:51:20","default","Pyrotek","u","&k nice"
"2012-12-23 14:51:22","default","Pyrotek","u","nice."
"2012-12-23 14:51:28","t","PickleMan","u","alright and"
"2012-12-23 14:51:30","t","PickleMan","u","okay, so"
"2012-12-23 14:51:33","t","PickleMan","u","messaging and..."
"2012-12-23 14:52:20","t","PickleMan","u","okay so"
"2012-12-23 14:52:25","t","PickleMan","u","try to do /msg pickle"
"2012-12-23 14:52:37","default","Pyrotek","u","No players matched query."
"2012-12-23 14:52:38","t","PickleMan","u","not a lot of times"
"2012-12-23 14:52:40","t","PickleMan","u","I know"
"2012-12-23 14:54:05","default","Pyrotek","u","Mmkay, gotta run."
"2012-12-23 14:54:19","default","Altimeter","PM to PickleMan","Woo "
"2012-12-23 14:54:23","default","Altimeter","PM to PickleMan","How's that? "
"2012-12-23 14:54:34","t","PickleMan","u","it works"
"2012-12-23 14:54:46","t","PickleMan","u","uhm"
"2012-12-23 14:54:51","t","PickleMan","u","sec, gotta restart this server"
"2012-12-23 14:54:53","t","PickleMan","u","you're fine"
"2012-12-23 14:55:34","t","PickleMan","u","you there?"
"2012-12-23 14:55:37","default","Altimeter","u","Yes'"
"2012-12-23 14:55:40","t","PickleMan","PM to Altimeter","hi "
"2012-12-23 14:55:41","t","PickleMan","PM to PickleMan","hi"
"2012-12-23 14:55:46","default","Altimeter","PM to PickleMan","Yo!"
"2012-12-23 14:55:49","default","Altimeter","PM to PickleMan","Howzit? "
"2012-12-23 14:55:52","t","PickleMan","PM to Altimeter","good "
"2012-12-23 14:55:56","t","PickleMan","PM to Altimeter","try using /r "
"2012-12-23 14:55:57","t","PickleMan","PM to PickleMan","hi"
"2012-12-23 14:56:01","default","Altimeter","PM to PickleMan","I did the first go"
"2012-12-23 14:56:03","default","Altimeter","PM to Altimeter","So it worked"
"2012-12-23 14:56:08","t","PickleMan","PM to Altimeter","hmm"
"2012-12-23 14:56:09","default","Altimeter","PM to PickleMan","Wait, wat"
"2012-12-23 14:56:12","t","PickleMan","PM to Altimeter","yeah..."
"2012-12-23 14:56:17","t","PickleMan","PM to PickleMan","not sure wtf is happening"
"2012-12-23 14:56:25","t","PickleMan","PM to PickleMan","why it's showing me"
"2012-12-23 14:56:38","t","PickleMan","PM to Altimeter","oh I see why "
"2012-12-23 14:56:40","t","PickleMan","u","I see hm"
"2012-12-23 14:56:50","t","PickleMan","u","okay"
"2012-12-23 14:56:55","t","PickleMan","u","send me a privmsg"
"2012-12-23 14:57:00","default","Altimeter","PM to PickleMan","Poop "
"2012-12-23 14:57:03","t","PickleMan","u","now do /r"
"2012-12-23 14:57:06","default","Altimeter","PM to Altimeter","poop"
"2012-12-23 14:57:13","t","PickleMan","u","and it sent it to yourself?"
"2012-12-23 14:57:17","default","Altimeter","u","Yes"
"2012-12-23 14:57:26","t","PickleMan","u","okay send me a pm"
"2012-12-23 14:57:28","t","PickleMan","u","just reloaded"
"2012-12-23 14:57:46","default","Altimeter","PM to PickleMan","Woo "
"2012-12-23 14:57:48","t","PickleMan","PM to Altimeter","hi"
"2012-12-23 14:57:51","t","PickleMan","u","now do /r"
"2012-12-23 14:57:51","default","Altimeter","PM to PickleMan","Yo"
"2012-12-23 14:57:53","t","PickleMan","u","erm"
"2012-12-23 14:57:55","default","Altimeter","PM to PickleMan","I am ring"
"2012-12-23 14:57:56","t","PickleMan","u","send me a pm again"
"2012-12-23 14:57:59","t","PickleMan","u","with msg"
"2012-12-23 14:58:00","t","PickleMan","u","not r"
"2012-12-23 14:58:00","default","Altimeter","PM to PickleMan","Pants "
"2012-12-23 14:58:06","t","PickleMan","u","okay now do /r"
"2012-12-23 14:58:08","default","Altimeter","PM to PickleMan","Coat"
"2012-12-23 14:58:13","t","PickleMan","PM to Altimeter","good"
"2012-12-23 14:58:15","default","Altimeter","PM to PickleMan","DICK DUST COVER"
"2012-12-23 14:58:18","t","PickleMan","PM to Altimeter",":P"
"2012-12-23 14:58:22","default","Altimeter","PM to PickleMan",":P "
"2012-12-23 14:58:29","t","PickleMan","u","hm, what else"
"2012-12-23 14:58:40","t","PickleMan","u","oh"
"2012-12-23 14:58:47","t","PickleMan","u","modes"
"2012-12-23 14:59:02","t","PickleMan","u","do uh"
"2012-12-23 14:59:06","t","PickleMan","u","hmm /cmode u +rave"
"2012-12-23 14:59:19","default","Altimeter","u","K"
"2012-12-23 14:59:21","t","PickleMan","u",":D"
"2012-12-23 14:59:22","default","Altimeter","u","This is silly"
"2012-12-23 14:59:22","t","PickleMan","u","uahweuifhi"
"2012-12-23 14:59:23","t","PickleMan","u","yeah"
"2012-12-23 14:59:24","default","Altimeter","u","HUZZAH"
"2012-12-23 14:59:28","t","PickleMan","u","now unset it with -rave"
"2012-12-23 15:00:44","t","PickleMan","u",":D fireworks"
"2012-12-23 15:01:45","t","PickleMan","u","aaa,tj"
"2012-12-23 15:01:48","t","PickleMan","u","aaaaalti"
"2012-12-23 15:02:51","default","Altimeter","u","Heh"
"2012-12-23 15:02:57","default","Altimeter","u","Gog it"
"2012-12-23 15:03:02","default","Altimeter","u","Played Awesomenauts"
"2012-12-23 15:03:08","default","PickleMan","g","ehh"
"2012-12-23 15:03:11","default","PickleMan","g","hm"
"2012-12-23 15:03:13","default","PickleMan","g","wtf"
"2012-12-23 15:03:18","default","Altimeter","G","G is still rave"
"2012-12-23 15:03:23","default","PickleMan","u","oh"
"2012-12-23 15:03:23","default","PickleMan","u","right"
"2012-12-23 15:03:24","default","PickleMan","u",":D"
"2012-12-23 15:03:35","default","PickleMan","u","waiiiit..."
"2012-12-23 15:03:41","default","PickleMan","u","hm"
"2012-12-23 15:03:43","default","PickleMan","u","okay"
"2012-12-23 15:03:50","default","PickleMan","u","so uh"
"2012-12-23 15:03:56","default","PickleMan","u","anything else?"
"2012-12-23 15:04:00","default","PickleMan","u","think that's it"
"2012-12-23 15:04:17","default","PickleMan","u","also :( I miss /put"
"2012-12-23 15:04:47","default","Altimeter","u","Yeah."
"2012-12-23 15:04:50","default","Altimeter","u","Put is gone for all of us"
"2012-12-23 15:04:59","default","PickleMan","u","it's just so useful"
"2012-12-23 15:05:00","default","Altimeter","u","I gave you jumpto though"
"2012-12-23 15:05:08","default","PickleMan","u",":o"
"2012-12-23 15:05:10","default","PickleMan","u","thanks"
"2012-12-23 15:05:26","default","PickleMan","u","so uh"
"2012-12-23 15:05:29","default","PickleMan","u","I think I'm done"
"2012-12-23 15:05:49","default","Altimeter","u","K"
"2012-12-23 15:05:57","default","PickleMan","u","so...what now"
"2012-12-23 15:06:32","default","Altimeter","u","Can this be linked when servers are not run from the same user?  When they're run from"
"2012-12-23 15:06:35","default","Altimeter","u","different boxes?"
"2012-12-23 15:06:46","default","PickleMan","u","yeah it connects to an external server"
"2012-12-23 15:06:49","default","PickleMan","u","or a local server"
"2012-12-23 15:06:50","default","PickleMan","u","but yeah"
"2012-12-23 15:07:16","default","Altimeter","u","If the server goes down, local chat still works, right?"
"2012-12-23 15:07:22","default","PickleMan","u","let's find out"
"2012-12-23 15:08:03","default","PickleMan","u","should stay rave"
"2012-12-23 15:08:08","default","PickleMan","u","and itt did"
"2012-12-23 15:08:11","default","PickleMan","u","alright"
"2012-12-23 15:08:11","default","Altimeter","u","YAY"
"2012-12-23 15:08:12","default","PickleMan","u","that's good"
"2012-12-23 15:08:18","default","PickleMan","u","hm"
"2012-12-23 15:08:18","default","Altimeter","ADMIN","Do we have this?"
"2012-12-23 15:08:23","default","Altimeter","u","What about admin/modchat?"
"2012-12-23 15:08:35","default","PickleMan","u","do /clisten admin and /clisten mod"
"2012-12-23 15:08:36","default","Altimeter","u","Modchat local, admin cross server?"
"2012-12-23 15:08:42","default","Altimeter","ADMIN","Test"
"2012-12-23 15:08:44","default","PickleMan","ADMIN","yeah"
"2012-12-23 15:08:47","default","PickleMan","ADMIN","hm"
"2012-12-23 15:08:48","default","Altimeter","u","Ooh"
"2012-12-23 15:08:49","default","PickleMan","MOD","hm"
"2012-12-23 15:08:50","default","PickleMan","u","wtf"
"2012-12-23 15:08:58","default","PickleMan","ADMIN","hi"
"2012-12-23 15:09:04","default","PickleMan","u","hmmm"
"2012-12-23 15:09:12","default","PickleMan","u","it appears that /a and /m don't work"
"2012-12-23 15:09:14","default","PickleMan","admin","hm"
"2012-12-23 15:09:25","default","PickleMan","admin","hi"
"2012-12-23 15:09:28","default","PickleMan","admin","do you see this altimeter?"
"2012-12-23 15:09:28","default","Altimeter","u","K"
"2012-12-23 15:09:30","default","PickleMan","admin","pm me if you do"
"2012-12-23 15:09:31","default","Altimeter","admin","Yes"
"2012-12-23 15:09:35","default","Altimeter","ADMIN","I see it"
"2012-12-23 15:09:52","default","PickleMan","admin","quick"
"2012-12-23 15:09:53","default","PickleMan","admin","type /u"
"2012-12-23 15:09:56","default","Altimeter","u","K"
"2012-12-23 15:09:58","default","Altimeter","ADMIN","Pants"
"2012-12-23 15:10:00","default","Altimeter","u","Bah"
"2012-12-23 15:10:01","default","PickleMan","PM to Altimeter","now do /a blah "
"2012-12-23 15:10:04","default","Altimeter","ADMIN","Pants!"
"2012-12-23 15:10:06","default","PickleMan","admin","yeah"
"2012-12-23 15:10:07","default","PickleMan","admin","hm"
"2012-12-23 15:10:09","default","Altimeter","ADMIN","PANTS EVEN HARDER :("
"2012-12-23 15:10:15","default","PickleMan","PM to Altimeter","okay so "
"2012-12-23 15:10:17","default","PickleMan","PM to Altimeter","it works"
"2012-12-23 15:10:22","default","PickleMan","PM to Altimeter","it just shows the channely ou're in now"
"2012-12-23 15:10:25","default","PickleMan","PM to Altimeter","not admin"
"2012-12-23 15:10:25","default","PickleMan","admin","anyway"
"2012-12-23 15:10:29","default","PickleMan","PM to Altimeter","anyway I'll fix that"
"2012-12-23 15:10:31","default","PickleMan","PM to Altimeter","I have to go"
"2012-12-23 15:10:33","default","PickleMan","admin","stop"
"2012-12-23 15:10:35","default","Altimeter","u","Alrighty"
